Unnamed: 0,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
807,flat,bestech park view residency,sector 2,1.26,8051.0,2,2,3,7.0,Moderately Old,1416.0,1,0,0,0,0,0,84
808,flat,conscient elevate,sector 59,4.02,17501.0,3,3,1,3.0,Under Construction,2550.0,0,0,0,0,0,0,31
809,flat,shree vardhman flora,sector 90,0.65,4815.0,2,2,3,10.0,Moderately Old,1222.0,1,0,0,0,0,1,83
810,flat,zara aavaas,sector 104,0.22,7309.0,1,2,2,2.0,New Property,335.0,0,0,0,0,0,0,60
811,flat,emaar gurgaon greens,sector 102,1.35,8182.0,3,3,3,5.0,Relatively New,1315.0,0,1,0,0,0,0,119
812,house,independent,sector 26,5.8,32222.0,5,5,3+,2.0,Old Property,1800.0,1,1,1,1,0,0,53
813,flat,whiteland blissville,sector 76,1.9,11364.0,3,3,2,0.0,Under Construction,1513.0,0,0,0,0,0,0,61
814,flat,kiran residency,sector 56,1.5,7500.0,3,3,3+,4.0,Relatively New,1900.0,0,1,0,0,0,1,126
815,flat,rof ananda,sector 95,0.21,61.0,1,1,1,13.0,Relatively New,38223.0,0,0,0,0,0,0,68
816,flat,smart world gems,sector 89,1.25,8784.0,3,3,3,2.0,Under Construction,1288.0,0,0,0,1,0,0,12
817,flat,indiabulls centrum park,sector 103,1.05,5859.0,2,2,3,1.0,Relatively New,1365.0,0,0,0,0,0,1,51
818,flat,kamal residence,sohna road,0.4,7634.0,2,2,1,0.0,New Property,582.0,0,0,0,0,1,1,16
819,house,dlf city phase 1,sector 26,5.5,30556.0,4,4,3,2.0,Moderately Old,1800.0,1,1,0,1,0,0,69
820,flat,godrej nature plus,sector 33,1.27,9183.0,2,2,3+,9.0,Under Construction,1252.0,0,0,0,0,0,0,38
821,flat,emaar imperial gardens,sector 102,1.85,9136.0,3,3,3+,0.0,Relatively New,2250.0,0,1,0,0,0,1,95
822,flat,indiabulls centrum park,sector 103,1.15,8679.0,2,2,3,10.0,Relatively New,1080.0,1,0,0,0,0,1,174
823,flat,signature global superbia,sector 95,0.4,6723.0,2,2,3,2.0,Under Construction,661.0,0,0,0,0,0,0,0
824,flat,dlf regal gardens,sector 90,1.25,8117.0,3,3,3,8.0,Relatively New,1640.0,0,0,0,1,0,0,158
