Unnamed: 0,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
0,flat,experion the heartsong,sector 108,1.6,7988.0,3,4,3+,3.0,Relatively New,1500.29,0,1,0,0,0,1,60
1,flat,emaar gurgaon greens,sector 102,1.55,9394.0,3,4,3,7.0,Relatively New,1315.0,0,1,0,0,0,1,152
2,flat,sobha city,sector 108,3.75,14940.0,3,3,2,16.0,New Property,2120.0,0,1,0,0,0,0,77
3,flat,tulip violet,sector 69,1.28,8112.0,3,3,2,12.0,Relatively New,1428.0,0,0,0,1,0,1,49
4,flat,spaze privy at,sector 84,1.35,9643.0,3,3,3,7.0,Relatively New,1750.0,0,0,0,1,0,0,90
5,flat,imperia the esfera,sector 37c,0.98,5399.0,3,4,3,9.0,Relatively New,1660.0,0,1,0,0,1,0,49
6,flat,ss the leaf,sector 85,1.83,7609.0,3,4,3,9.0,Relatively New,1925.0,0,0,0,0,0,0,49
7,flat,prasha apartments,manesar,0.75,3308.0,3,3,3+,3.0,Moderately Old,1914.0,0,1,0,0,0,0,31
8,house,signature global city,sector 37d,1.27,8089.0,3,3,3,4.0,Under Construction,1570.0,0,0,0,1,0,0,89
9,house,independent,sector 7,2.0,13889.0,2,2,2,2.0,Old Property,1440.0,0,0,0,0,0,0,22
10,flat,bestech park view city,sector 48,1.78,10023.0,3,4,2,5.0,Relatively New,1526.0,1,0,0,1,0,0,53
11,flat,the serenas,sector 36,0.42,7910.0,2,2,1,3.0,New Property,590.0,0,0,0,0,0,0,0
12,flat,sbtl caladium,sector 109,1.8,7073.0,3,3,3+,10.0,Relatively New,2000.0,0,0,0,0,0,0,174
13,flat,paras quartier,gwal pahari,5.9,11028.0,4,4,3+,0.0,Moderately Old,5350.0,0,0,0,0,0,0,63
14,house,international city by sobha phase 2,sector 109,6.25,11574.0,4,4,3+,2.0,Relatively New,5400.0,0,1,0,0,0,0,138
15,flat,puri emerald bay,sector 104,2.55,10408.0,4,4,3+,5.0,Relatively New,2303.0,0,1,0,0,0,0,49
16,house,dlf city plots phase 2,sector 25,10.5,29022.0,4,4,2,2.0,Old Property,3618.0,0,1,0,1,0,1,91
17,flat,raheja revanta,sector 78,1.2,10017.0,1,2,2,32.0,Under Construction,823.0,0,0,0,0,0,0,39
18,flat,raheja vanya,sector 99a,0.59,3976.0,2,2,3,1.0,Under Construction,1133.0,0,0,0,0,1,0,96
19,house,independent,sector 2,4.99,18887.0,4,4,3+,3.0,Moderately Old,2642.0,0,1,1,1,0,0,43
20,house,independent,sector 25,6.5,36111.0,4,3,3,3.0,Moderately Old,1800.0,1,0,0,1,0,0,19
21,flat,bptp terra,sector 37d,1.98,9037.0,3,3,3+,12.0,New Property,1983.0,1,0,0,0,0,1,49
22,flat,green court,sector 90,0.47,6812.0,2,2,1,0.0,New Property,767.0,0,0,0,0,0,0,49
23,house,independent,sector 5,3.75,11029.0,5,5,3+,3.0,Old Property,3400.0,0,0,0,0,0,0,0
24,flat,the close north,sector 50,2.5,11945.0,3,3,3,11.0,Relatively New,1894.0,0,0,0,1,0,1,127
25,flat,ramsons kshitij,sector 95,0.33,3910.0,2,2,1,14.0,New Property,694.0,0,0,0,0,1,1,79
26,flat,experion windchants,sector 112,5.6,11530.0,4,6,3+,15.0,Moderately Old,3662.34,0,1,0,0,0,1,157
27,flat,tata primanti,sector 72,4.1,13726.0,3,3,3,8.0,Moderately Old,2308.0,0,1,0,0,0,0,38
28,house,dlf city plots,sector 26,17.0,37627.0,5,6,3,2.0,Old Property,4518.0,0,1,1,1,0,1,87
29,flat,m3m sierra 68,sector 68,1.25,10246.0,2,2,3,4.0,New Property,938.0,0,0,0,0,0,0,44
30,flat,ss the leaf,sector 85,2.7,7754.0,4,4,3+,23.0,New Property,3151.0,0,0,0,0,0,0,21
31,flat,chd avenue,sector 71,1.2,7407.0,3,3,3,4.0,Relatively New,1466.0,0,0,0,0,1,1,49
32,flat,ireo the corridors,sector 67a,2.0,11429.0,3,3,3,12.0,New Property,1584.0,1,0,0,0,0,0,38
33,house,vipul tatvam villa,sector 48,8.5,21250.0,4,5,3+,2.0,Moderately Old,4000.0,1,1,0,1,1,1,49
34,flat,ss the leaf,sector 85,1.05,6162.0,2,2,3+,7.0,Relatively New,1512.0,0,0,1,0,0,0,144
35,flat,shapoorji pallonji joyville gurugram,sector 102,1.28,10535.0,2,2,3,10.0,Relatively New,1100.0,0,0,0,0,0,0,49
36,flat,hero homes,sector 104,1.35,9568.0,3,2,2,18.0,New Property,1094.0,0,0,0,0,0,0,49
37,flat,vatika city homes,sector 83,1.08,6207.0,3,3,3,6.0,Relatively New,1537.0,0,0,1,0,0,0,111
38,flat,puri diplomatic greens,sector 111,3.65,12373.0,4,5,3+,17.0,Moderately Old,2670.0,0,1,0,0,0,0,132
39,flat,tulip violet,sector 69,1.55,9823.0,3,3,2,9.0,Relatively New,1428.0,0,0,0,1,0,1,165
40,flat,godrej air,sector 85,1.75,9589.0,3,3,2,27.0,Relatively New,1825.0,0,0,0,0,0,0,44
41,flat,awho shanti vihar,sector 95,0.8,8889.0,2,2,3,9.0,New Property,713.0,1,0,0,0,0,0,67
42,flat,paras dews,sector 106,0.88,6354.0,2,2,3+,3.0,Relatively New,1120.0,0,0,0,0,0,0,49
43,flat,bptp terra,sector 37d,1.75,7987.0,4,4,3,7.0,Relatively New,2100.0,0,0,0,0,1,1,120
44,flat,uphaar residency 2,sector 105,0.42,5600.0,3,2,1,0.0,Moderately Old,833.0,0,0,0,0,1,0,7
45,flat,bestech park view ananda,sector 81,1.15,6928.0,3,2,3+,6.0,Relatively New,1463.0,1,0,0,0,0,1,104
46,flat,eldeco accolade,sohna road,1.1,7550.0,2,2,3+,17.0,Relatively New,1319.0,1,0,0,0,1,1,7
47,flat,bptp terra,sector 37d,2.08,10000.0,4,4,3,0.0,New Property,2211.0,1,1,0,1,0,0,121
48,house,independent,sector 11,2.1,20290.0,6,6,3+,3.0,Relatively New,1215.0,0,0,0,0,0,0,14
49,flat,emaar palm gardens,sector 83,1.4,9675.0,3,3,3,11.0,Relatively New,1582.0,0,1,0,0,0,2,58
50,house,independent,sector 7,0.45,5000.0,3,2,0,1.0,Old Property,1000.0,0,0,0,0,0,0,0
51,flat,emaar mgf emerald floors premier,sector 65,2.8,16970.0,3,3,2,3.0,Relatively New,1650.0,0,1,0,0,0,0,105
52,flat,valley view estate,gwal pahari,0.38,6090.0,1,1,1,11.0,Moderately Old,565.0,0,0,0,0,0,0,42
53,flat,indiabulls centrum park,sector 103,1.33,8581.0,3,3,3+,8.0,Relatively New,1671.0,1,0,0,0,0,0,150
54,house,unitech uniworld resorts,sector 33,11.75,23240.0,5,7,3+,3.0,Relatively New,5056.0,0,1,0,0,0,0,80
55,flat,dlf new town heights,sector 90,1.88,6894.0,4,4,3+,20.0,Relatively New,2726.0,0,1,0,1,0,0,145
56,flat,ss the leaf,sector 85,1.14,6433.0,2,2,3,16.0,Relatively New,1604.0,0,0,0,0,0,0,44
57,flat,ansal height 86,sector 86,0.8,5882.0,2,2,0,1.0,Relatively New,1360.0,0,0,0,0,0,0,0
58,flat,shree vardhman victoria,sector 70,1.63,8359.0,3,3,3,5.0,New Property,1527.0,0,1,0,0,1,0,49
59,flat,apex our homes,sector 37c,0.35,3784.0,2,2,1,7.0,Relatively New,850.0,0,0,0,0,0,1,158
60,flat,ss the leaf,sector 85,1.85,7683.0,3,4,3,2.0,Relatively New,2179.0,1,1,0,0,0,1,49
61,flat,the lions cghs,sector 56,2.1,8750.0,3,4,3+,8.0,Old Property,2200.0,0,0,0,0,1,1,166
62,flat,mrg world ultimus,sector 90,0.5,6983.0,2,2,2,1.0,Under Construction,796.0,0,0,0,0,0,0,21
63,flat,aipl club residences,sector 70a,1.27,9777.0,2,2,3+,24.0,Relatively New,1449.0,0,0,0,0,1,1,113
64,flat,bptp terra,sector 37d,1.8,8215.0,4,3,3,12.0,Relatively New,1983.0,1,0,0,0,0,1,144
65,house,independent,sector 45,10.0,30864.0,6,6,3+,4.0,Moderately Old,3240.0,1,1,1,1,0,1,70
66,flat,dlf new town heights,sector 90,1.42,4865.0,4,4,3+,8.0,Moderately Old,2139.0,0,1,1,0,0,0,31
68,flat,ansal heights 86,sector 86,1.3,4666.0,4,6,2,11.0,New Property,2521.0,0,1,0,0,1,0,86
69,flat,signature global solera,sector 107,0.36,5980.0,2,2,1,7.0,Relatively New,598.0,0,0,0,0,1,0,49
70,flat,ansal heights 86,sector 86,0.78,5735.0,2,2,2,8.0,New Property,1360.0,0,0,0,0,0,0,72
71,flat,dlf regal gardens,sector 90,1.29,7104.0,3,3,3+,12.0,Relatively New,1817.0,0,1,0,0,0,0,152
72,flat,vatika city,sector 49,2.64,11723.0,3,4,3+,2.0,Moderately Old,2252.0,0,1,0,1,0,1,140
73,flat,the lions cghs,sector 56,2.05,7885.0,4,4,3+,7.0,Old Property,2600.0,0,0,1,0,0,1,120
74,flat,m3m skycity,sector 65,2.1,16031.0,2,2,2,43.0,New Property,1186.0,0,0,0,0,0,0,127
75,flat,ireo the grand arch,sector 58,2.2,13480.0,2,2,1,5.0,Relatively New,1432.0,1,0,0,0,0,1,94
76,flat,indiabulls centrum park,sector 103,1.15,7765.0,2,2,3,8.0,Relatively New,1250.0,1,0,0,0,0,1,135
77,flat,m3m woodshire,sector 107,0.9,5867.0,2,2,3,8.0,Relatively New,1281.0,1,0,0,0,0,1,74
78,flat,godrej summit,sector 104,0.98,5950.0,3,3,3,12.0,Relatively New,1490.0,0,0,0,0,1,0,79
79,flat,vatika gurgaon,sector 83,1.1,6051.0,3,3,3,12.0,Relatively New,1570.0,0,1,0,0,0,1,66
80,flat,sidhartha ncr greens,sector 95,0.6,5576.0,2,2,2,14.0,Relatively New,974.0,1,0,0,0,0,0,31
82,house,uppal southend,sector 49,4.4,15278.0,6,6,3,3.0,Moderately Old,2880.0,1,1,1,1,0,2,110
83,flat,signature global city 37d ph 2,sector 37d,1.36,8848.0,3,3,3,1.0,Under Construction,1535.0,0,0,0,1,1,0,37
84,flat,la vida by tata housing,sector 113,3.0,14286.0,3,3,3+,3.0,Relatively New,2460.0,0,1,0,0,0,0,167
85,house,independent,sector 105,1.3,11556.0,3,3,1,2.0,Moderately Old,1125.0,0,0,0,0,0,0,16
86,flat,kiran residency,sector 56,1.55,6889.0,3,3,3+,5.0,Moderately Old,1900.0,0,1,0,1,0,1,92
87,flat,pareena laxmi apartments,sector 99a,0.3,5425.0,2,1,2,5.0,New Property,511.0,0,0,0,0,0,0,66
88,flat,spaze privy,sector 72,1.9,9620.0,3,3,3,10.0,Moderately Old,1787.0,0,1,0,0,0,1,31
89,flat,ss the leaf,sector 85,1.2,7317.0,2,2,3+,14.0,Relatively New,1380.0,0,0,1,0,0,0,141
90,flat,ireo uptown,sector 66,4.85,12999.0,4,4,3+,15.0,Relatively New,3500.0,1,1,1,1,0,1,156
91,flat,sare crescent parc,sector 92,0.8,4211.0,4,3,2,10.0,Relatively New,1719.0,0,0,0,0,1,0,37
92,house,independent,sector 4,2.3,17012.0,4,4,3,2.0,Old Property,160.0,0,0,0,0,0,1,15
93,house,independent,sector 26,18.9,41833.0,6,8,2,3.0,Relatively New,4518.0,1,1,1,1,0,1,120
94,flat,dlf the ultima,sector 81,2.3,14603.0,3,4,3+,27.0,Relatively New,1825.0,0,1,0,0,0,1,119
95,house,unitech aspen greens,sector 50,6.95,4490.0,3,3,1,2.0,Moderately Old,2160.0,0,1,0,0,0,0,160
96,flat,irwo westend towers,sector 47,0.65,12059.0,1,1,2,3.0,Old Property,599.0,0,0,0,0,0,0,56
97,flat,shree vardhman flora,sector 90,0.65,6792.0,2,2,3,9.0,Relatively New,1050.0,1,0,0,0,0,0,67
98,house,kothi,sector 17b,6.95,15444.0,4,4,3+,2.0,Old Property,3500.0,1,1,1,1,0,0,33
99,flat,signature global orchard avenue,sector 93,0.38,6387.0,2,2,2,7.0,Relatively New,661.0,0,0,0,0,0,0,16
100,flat,emaar gurgaon greens,sector 102,1.4,8485.0,3,3,3,4.0,Relatively New,1493.0,0,1,0,0,0,1,83
101,flat,paras dews,sector 106,1.25,10656.0,3,4,3,14.0,Relatively New,1305.0,1,1,0,0,0,0,167
102,flat,sukhshanti apartment,sector 56,1.7,7727.0,3,3,3,4.0,Moderately Old,2200.0,1,0,0,0,0,0,49
103,flat,ramprastha city,dwarka expressway,1.3,9028.0,3,3,2,3.0,Under Construction,1303.0,0,0,0,0,0,0,0
104,flat,alpha corp gurgaonone,sector 84,2.28,8769.0,4,4,3+,8.0,Relatively New,2998.0,0,1,0,0,0,0,61
105,flat,tata primanti,sector 72,4.1,14099.0,4,5,3+,39.0,New Property,2629.0,0,1,0,0,1,0,103
106,flat,aipl zen residences,sector 70a,1.65,13074.0,2,2,3,23.0,New Property,1142.0,0,0,0,0,0,0,81
107,flat,ireo skyon,sector 60,2.82,12818.0,3,3,3,2.0,Relatively New,2400.0,0,1,0,0,0,1,174
108,flat,tarc maceo,sector 91,0.89,6339.0,2,2,3+,9.0,Relatively New,1302.0,0,0,0,0,1,1,13
109,flat,emaar mgf emerald floors premier,sector 65,2.7,16364.0,3,3,3,5.0,Relatively New,1650.0,0,1,1,0,0,1,108
110,house,independent,sector 39,1.7,17989.0,2,2,3+,3.0,Moderately Old,900.0,0,1,1,0,0,0,45
111,flat,dlf regal gardens,sector 90,1.2,6838.0,3,3,3+,15.0,Relatively New,1572.0,0,0,0,0,0,0,118
112,house,sector 14 rwa,sector 14,6.5,20635.0,4,4,3+,2.0,Moderately Old,3150.0,0,0,0,0,0,0,0
113,flat,emaar digihomes,sector 62,4.0,14870.0,3,3,3,18.0,New Property,2343.0,0,1,0,0,0,1,38
114,flat,mvn athens,sohna road,0.25,4259.0,2,2,1,0.0,Relatively New,587.0,0,0,0,0,0,0,38
115,house,independent,sector 46,4.25,23148.0,5,4,2,3.0,Moderately Old,1836.0,0,0,1,0,0,1,57
116,flat,tulip violet,sector 69,1.6,10139.0,3,3,2,0.0,Relatively New,1428.0,0,0,0,1,0,0,49
117,flat,bestech park view grand spa,sector 81,2.22,8346.0,3,4,3+,15.0,Relatively New,2407.0,0,1,0,0,0,1,174
118,flat,paras dews,sector 106,1.1,9735.0,3,4,3+,8.0,Relatively New,1186.0,0,1,0,0,0,1,174
119,flat,not applicable,sector 4,0.42,5600.0,2,2,1,3.0,Relatively New,833.0,0,0,0,0,0,1,26
120,house,independent,sector 31,3.5,24155.0,4,3,3,2.0,Moderately Old,1449.0,0,0,1,0,0,1,81
121,house,independent,sector 7,2.43,14890.0,4,4,2,3.0,Old Property,345.0,1,0,1,1,0,0,38
122,house,independent,sector 4,0.58,9619.0,2,2,1,2.0,Moderately Old,67.0,0,0,0,1,1,0,7
123,house,independent,sohna road,1.5,14245.0,2,3,2,1.0,New Property,1053.0,1,0,0,1,0,1,69
124,house,independent,sector 105,9.9,49500.0,2,2,2,3.0,Moderately Old,2000.0,0,0,0,0,0,0,0
125,flat,pareena coban residences,sector 99a,1.56,7812.0,3,5,3,4.0,New Property,1807.0,0,1,0,0,1,0,49
126,flat,dlf the ultima,sector 81,2.2,10461.0,3,3,3+,5.0,Relatively New,1570.0,1,1,0,1,1,2,49
127,flat,corona optus,sector 37c,1.5,6361.0,3,4,3+,14.0,New Property,2134.0,0,1,0,0,1,0,83
128,flat,raisina residency,sector 59,5.0,13058.0,4,4,3+,13.0,Relatively New,4254.0,1,1,1,1,0,1,174
129,flat,signature global park,sohna road,0.65,7295.0,2,2,3,1.0,New Property,822.0,0,0,0,0,0,0,58
130,flat,eldeco accolade,sohna road,0.66,5181.0,2,2,3,12.0,Relatively New,978.0,0,0,0,1,0,0,49
131,house,international city by sobha phase 2,sector 109,12.5,26670.0,5,6,3,3.0,Relatively New,4500.0,1,1,1,1,0,0,63
132,flat,indiabulls enigma,sector 110,3.79,9896.0,5,5,3,4.0,Relatively New,3466.0,0,1,0,0,1,0,125
133,flat,conscient heritage max,sector 102,2.15,9307.0,3,4,3,13.0,Relatively New,1945.0,1,1,0,0,0,0,101
134,flat,ramprastha skyz,sector 37d,1.1,6377.0,3,3,3+,7.0,Under Construction,1561.0,0,0,0,0,0,0,109
135,flat,orris aster court premier,sector 85,1.25,5896.0,3,4,2,5.0,Relatively New,1900.0,0,1,0,0,0,1,174
136,house,vipul tatvam villa,sector 48,7.69,24069.0,4,5,3,2.0,Moderately Old,3195.0,1,1,1,1,0,1,110
137,flat,housing board colony,sector 51,0.3,7317.0,1,1,2,0.0,Old Property,459.0,0,0,0,0,0,0,0
138,house,unitech aspen greens,sector 50,6.8,31481.0,4,5,3,3.0,Old Property,2160.0,1,1,0,0,0,1,111
139,house,independent,sector 47,4.3,29312.0,6,4,2,2.0,Moderately Old,1467.0,0,0,0,0,1,0,0
140,flat,shyamkunj ashok vihar pahse 2,sector 3 phase 2,0.3,4444.0,2,2,1,1.0,Relatively New,750.0,0,0,0,0,0,0,21
141,flat,dlf new town heights,sector 86,1.3,6736.0,3,3,3,12.0,Moderately Old,1747.0,0,1,0,1,0,0,106
142,flat,sare crescent parc,sector 92,0.92,4855.0,4,5,3+,14.0,Moderately Old,1895.0,0,0,0,0,0,1,131
143,flat,dlf new town heights,sector 90,1.9,5684.0,4,4,3+,7.0,Relatively New,2468.0,0,1,0,1,0,0,88
144,flat,shapoorji pallonji joyville gurugram,sector 102,1.42,10380.0,2,2,3,14.0,Relatively New,1368.0,0,0,0,0,0,0,0
145,flat,dlf exclusive floors,sector 43,2.35,14242.0,3,3,2,1.0,Old Property,1527.0,0,0,1,0,0,1,102
146,flat,godrej air,sector 85,2.6,12212.0,3,3,3,17.0,Under Construction,2129.0,0,1,0,0,0,0,44
147,house,row house,sector 105,0.43,9130.0,3,3,3,2.0,Relatively New,1050.0,0,0,0,0,0,0,0
149,flat,whiteland blissville,sector 76,1.92,11794.0,3,3,2,3.0,Under Construction,1628.0,0,0,0,0,0,0,61
150,flat,allure homes,sector 12,0.72,7273.0,2,2,1,2.0,Relatively New,1100.0,0,0,0,0,1,1,16
151,house,independent,sector 23,5.0,16244.0,4,4,2,2.0,Old Property,3078.0,0,0,0,0,0,0,7
152,flat,shree vardhman victoria,sector 70,1.62,13953.0,3,3,3,9.0,Relatively New,1527.0,0,1,0,0,0,0,96
153,house,independent,sector 17,0.32,22069.0,2,2,0,3.0,Moderately Old,145.0,0,0,0,0,0,0,0
154,house,dlf city plots,sector 26,16.0,37780.0,4,4,3,1.0,Relatively New,4235.0,1,0,1,1,0,0,7
155,flat,rof ananda,sector 95,0.26,6032.0,1,1,1,8.0,New Property,406.0,0,0,0,0,0,0,49
156,flat,signature global solera,sector 107,0.28,5833.0,2,2,2,11.0,Relatively New,543.0,0,0,0,0,0,0,45
157,flat,ss the coralwood,sector 84,1.01,5771.0,3,3,2,18.0,Relatively New,1475.0,0,0,0,0,0,0,40
158,flat,orris aster court premier,sector 85,1.5,5859.0,4,5,3+,6.0,New Property,2017.0,0,1,0,0,0,1,28
159,house,independent,sector 46,5.65,23870.0,8,6,3+,3.0,Moderately Old,2367.0,0,1,0,0,0,1,67
160,flat,tulip violet,sector 69,2.0,10168.0,4,4,1,12.0,Relatively New,2186.0,0,0,0,0,0,0,79
161,flat,m3m golfestate,sector 65,5.3,24212.0,3,3,3,38.0,Moderately Old,2506.0,0,1,0,0,0,2,49
162,flat,mvn athens,sohna road,0.24,4211.0,2,2,1,12.0,Relatively New,516.0,0,0,0,0,0,0,38
163,flat,avl 36 gurgaon,sector 36a,0.4,10204.0,1,1,1,4.0,Relatively New,436.0,0,0,0,0,0,0,35
164,flat,shree vardhman flora,sector 90,0.7,4614.0,2,2,3,9.0,New Property,1224.0,1,0,0,0,1,0,51
165,flat,tulip violet,sector 69,1.92,15360.0,4,4,2,0.0,Relatively New,1389.0,0,0,0,0,0,0,174
166,flat,m3m soulitude,sector 89,1.32,16923.0,3,3,3,1.0,Under Construction,867.0,0,0,0,0,0,0,45
167,flat,godrej,sector 79,2.0,8453.0,3,4,3+,2.0,Relatively New,2629.0,0,1,0,0,0,1,156
168,house,independent,sector 50,10.55,32562.0,5,5,3,2.0,Moderately Old,3240.0,1,1,0,0,0,0,42
169,flat,ireo skyon,sector 60,3.75,13393.0,4,4,3,12.0,Relatively New,2650.0,0,1,0,0,0,1,49
170,house,unitech uniworld resorts,sector 33,11.5,24573.0,5,6,3+,4.0,Relatively New,4680.0,0,1,0,0,0,0,84
171,flat,valley view estate,gwal pahari,1.5,7489.0,4,4,3+,10.0,Moderately Old,1850.0,0,0,0,0,0,0,58
172,flat,ss the leaf,sector 85,1.84,7641.0,3,4,3,8.0,Relatively New,2026.0,0,0,0,1,0,0,158
173,flat,pyramid urban,sector 67a,0.6,8571.0,2,2,2,14.0,New Property,633.0,0,0,0,0,0,0,15
174,flat,shapoorji pallonji joyville gurugram,sector 102,1.8,10638.0,3,3,3,5.0,Relatively New,1531.0,0,0,0,0,0,0,49
175,flat,godrej nature plus serenity,sector 33,1.45,8677.0,3,2,3,3.0,Under Construction,1512.0,0,0,0,0,0,0,49
176,flat,bestech park view residency,sector 2,0.95,6714.0,2,2,3,1.0,Moderately Old,1281.0,0,0,0,0,0,1,82
177,flat,signature andour heights,sector 71,0.55,8607.0,2,2,1,7.0,Relatively New,600.0,0,0,0,0,0,1,24
178,flat,aipl peaceful homes,sector 70a,2.75,12791.0,3,3,3+,14.0,Relatively New,2150.0,0,0,0,0,0,0,0
179,flat,pareena laxmi apartments,sector 99a,0.32,5787.0,2,2,2,11.0,New Property,502.0,0,0,0,0,0,0,66
180,flat,m3m woodshire,sector 107,1.4,5930.0,3,4,3+,6.0,Relatively New,2137.0,0,1,0,0,0,0,117
181,house,bestech park view aindependentda,sector 81,4.35,7937.0,4,4,3,2.0,Relatively New,5480.0,0,1,1,0,0,0,51
182,flat,ramprastha primera,sector 37d,1.02,6000.0,3,2,3,22.0,Under Construction,1538.0,0,0,0,0,0,0,43
183,flat,bestech altura,sector 79,1.9,8837.0,3,4,3,11.0,Under Construction,1946.0,0,0,0,0,0,0,96
184,flat,dlf the skycourt,sector 86,1.72,8917.0,3,3,1,8.0,Relatively New,1746.0,0,0,0,0,1,1,49
185,flat,ramsons kshitij,sector 95,0.19,591.0,1,1,1,14.0,Relatively New,3569.0,0,0,0,0,0,0,49
186,flat,shree vardhman flora,sector 90,0.9,4615.0,3,4,3,4.0,Relatively New,1765.0,0,1,0,0,0,0,165
187,flat,ss the leaf,sector 85,1.06,6344.0,2,2,2,12.0,Relatively New,1512.0,0,0,0,0,0,0,44
188,flat,sare crescent parc,sector 92,0.7,5556.0,3,3,2,14.0,Under Construction,140.0,0,0,0,0,0,0,38
189,flat,tulip ivory,sector 70,2.35,9792.0,4,4,3+,8.0,Moderately Old,2667.0,0,1,0,0,0,0,108
190,flat,gls arawali homes,sohna road,0.35,6076.0,2,2,2,11.0,Relatively New,528.0,0,0,0,0,0,0,64
191,flat,ss the leaf,sector 85,1.18,10094.0,2,3,3,12.0,Relatively New,1420.0,0,0,0,1,0,1,150
192,house,independent,sector 56,4.0,26613.0,4,4,3+,2.0,Relatively New,1503.0,0,0,0,0,0,1,24
193,flat,m3m soulitude,sector 89,1.42,9979.0,3,3,2,3.0,New Property,1581.0,0,0,0,0,0,0,15
194,house,independent,sector 105,0.6,11111.0,8,4,3,3.0,New Property,540.0,0,0,0,0,0,0,17
195,house,independent,sector 55,3.1,20026.0,5,4,3+,2.0,Moderately Old,1548.0,0,1,1,0,0,1,59
197,flat,dlf regal gardens,sector 90,1.76,7946.0,4,4,3+,8.0,Relatively New,2020.0,0,0,0,0,0,1,135
198,flat,ats tourmaline,sector 109,1.75,10000.0,3,3,3,4.0,New Property,1466.0,0,0,0,0,0,0,31
199,flat,suncity vatsal valley,gwal pahari,1.38,9650.0,3,3,2,1.0,Relatively New,1294.0,0,0,0,0,0,1,151
200,house,independent,sector 22,4.75,20068.0,7,5,3+,3.0,Old Property,2367.0,0,0,0,1,1,1,49
201,flat,godrej,sector 79,1.29,8206.0,2,2,3,4.0,New Property,1423.0,0,0,0,0,0,0,0
202,flat,experion the heartsong,sector 108,2.0,7197.0,4,4,3+,10.0,Relatively New,2500.0,0,1,0,1,0,1,174
203,house,unitech espace,sector 50,11.5,35494.0,5,6,0,1.0,Moderately Old,3240.0,0,0,0,0,0,0,0
204,house,independent,sector 12,1.2,14184.0,4,4,2,2.0,Relatively New,846.0,0,0,0,1,0,1,7
205,flat,signature andour heights,sector 71,0.59,8429.0,2,2,1,6.0,Moderately Old,639.0,0,0,0,0,0,0,67
206,house,independent,sector 57,3.6,20833.0,4,4,2,2.0,Old Property,1728.0,1,1,1,1,0,0,110
207,flat,emaar mgf the palm drive,sector 66,3.5,15909.0,3,3,3,7.0,Moderately Old,2125.0,0,1,1,0,0,1,149
208,flat,signature the roselia,sector 95,0.45,7909.0,2,2,2,2.0,New Property,632.0,0,0,0,0,0,1,31
209,flat,om appartments,sector 3 phase 2,0.4,4444.0,3,2,1,3.0,Relatively New,1000.0,0,0,0,0,0,0,7
210,flat,chd avenue,sector 71,1.0,6734.0,3,3,3+,3.0,Relatively New,1344.0,0,0,0,0,0,1,7
211,flat,sonata group housing gh 24,manesar,1.65,5893.0,4,3,3,8.0,New Property,3111.0,0,1,0,0,0,0,20
212,flat,vatika inxt floors,sector 82a,1.25,8333.0,3,2,3,2.0,Relatively New,1667.0,1,0,0,1,0,1,94
213,flat,mvn athens,sohna road,0.25,3671.0,2,2,1,11.0,Relatively New,681.0,0,0,0,0,0,1,67
214,flat,vipul lavanya,sector 81,0.75,5967.0,2,2,2,7.0,Moderately Old,1397.0,0,0,0,0,0,0,37
215,house,independent,sector 14,6.46,18889.0,5,5,2,3.0,Moderately Old,3420.0,1,1,0,1,0,1,27
216,flat,the roselia 2,sector 95,0.45,6475.0,2,2,2,19.0,Relatively New,695.0,0,0,0,0,0,0,0
217,flat,alpha corp gurgaonone,sector 84,1.15,7497.0,2,2,3,14.0,Relatively New,1394.0,1,0,0,0,0,0,28
220,flat,dlf new town heights,sector 86,1.3,6736.0,3,3,3,12.0,Moderately Old,1747.0,0,1,0,0,0,1,165
221,house,independent,sector 4,0.85,7522.0,3,3,0,1.0,Moderately Old,1130.0,0,0,0,0,0,0,0
222,flat,piedmont taksila heights,sector 37c,0.9,5856.0,3,3,3,9.0,Moderately Old,1537.0,0,0,0,0,0,1,94
223,flat,smart world gems,sector 89,1.13,8503.0,3,3,2,4.0,Under Construction,1473.0,1,0,0,0,0,0,115
224,flat,tulip lemon,sector 69,0.6,10000.0,2,1,1,12.0,Relatively New,667.0,0,0,0,0,0,0,23
225,house,unitech nirvana birch court,sector 50,7.1,31430.0,3,3,3,1.0,Moderately Old,2259.0,0,1,0,0,0,0,49
226,house,independent,sector 46,3.6,24845.0,5,5,3+,3.0,Moderately Old,1449.0,0,1,0,0,0,1,75
227,flat,tulip violet,sector 69,1.68,8358.0,4,4,2,2.0,Relatively New,1819.0,0,0,0,1,0,0,112
228,flat,vatika the seven lamps,sector 82,1.6,6598.0,4,5,3+,8.0,Relatively New,2195.0,0,1,0,0,0,0,133
229,flat,dlf new town heights,sector 86,1.4,5942.0,4,4,3+,20.0,Relatively New,2132.0,0,1,0,1,0,0,65
230,flat,dlf the arbour,sector 63,7.52,18999.0,4,4,3,15.0,New Property,3956.0,0,0,0,0,0,0,61
231,flat,chd avenue,sector 71,0.95,7930.0,2,2,2,5.0,Moderately Old,1084.0,0,0,0,0,0,1,142
232,flat,tulip violet,sector 69,1.43,8888.0,3,3,2,1.0,Relatively New,1455.0,0,0,0,1,0,0,86
