,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
0,flat,experion the heartsong,sector 108,1.6,7988.0,2003.0,Super Built up area 2003(186.08 sq.m.)Built Up area: 1500.29 sq.ft. (139.38 sq.m.)Carpet area: 1140.98 sq.ft. (106 sq.m.),3,4,3+,3.0,South,Relatively New,2003.0,1500.29,1140.98,0,1,0,0,0,1,60
1,flat,emaar gurgaon greens,sector 102,1.55,9394.0,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,4,3,7.0,North,Relatively New,1650.0,,1022.58,0,1,0,0,0,1,152
2,flat,sobha city,sector 108,3.75,14940.0,2510.0,Super Built up area 2343(217.67 sq.m.),3,3,2,16.0,North-East,New Property,2343.0,,,0,1,0,0,0,0,77
3,flat,tulip violet,sector 69,1.28,8112.0,1578.0,Super Built up area 1578(146.6 sq.m.),3,3,2,12.0,South-West,Relatively New,1578.0,,,0,0,0,1,0,1,49
4,flat,spaze privy at,sector 84,1.35,9643.0,1400.0,Super Built up area 1918(178.19 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,7.0,South-East,Relatively New,1918.0,1750.0,1400.0,0,0,0,1,0,0,90
5,flat,imperia the esfera,sector 37c,0.98,5399.0,1815.0,Super Built up area 1815(168.62 sq.m.)Carpet area: 1510 sq.ft. (140.28 sq.m.),3,4,3,9.0,South-West,Relatively New,1815.0,,1510.0,0,1,0,0,1,0,49
6,flat,ss the leaf,sector 85,1.83,7609.0,2405.0,Super Built up area 2408(223.71 sq.m.)Built Up area: 1925 sq.ft. (178.84 sq.m.)Carpet area: 1875 sq.ft. (174.19 sq.m.),3,4,3,9.0,North-East,Relatively New,2408.0,1925.0,1875.0,0,0,0,0,0,0,49
7,flat,prasha apartments,manesar,0.75,3308.0,2267.0,Super Built up area 2115(196.49 sq.m.),3,3,3+,3.0,West,Moderately Old,2115.0,,,0,1,0,0,0,0,31
8,house,signature global city,sector 37d,1.27,8089.0,1570.0,Plot area 1570(145.86 sq.m.),3,3,3,4.0,East,Under Construction,,1570.0,,0,0,0,1,0,0,89
9,house,independent,sector 7,2.0,13889.0,1440.0,Plot area 160(133.78 sq.m.),2,2,2,2.0,North-West,Old Property,,1440.0,,0,0,0,0,0,0,22
10,flat,bestech park view city,sector 48,1.78,10023.0,1776.0,Super Built up area 1776(165 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,4,2,5.0,,Relatively New,1776.0,,1300.0,1,0,0,1,0,0,53
11,flat,the serenas,sector 36,0.42,7910.0,531.0,Carpet area: 531 (49.33 sq.m.),2,2,1,3.0,,Undefined,,,531.0,0,0,0,0,0,0,0
12,flat,sbtl caladium,sector 109,1.8,7073.0,2545.0,Super Built up area 2545(236.44 sq.m.)Carpet area: 1527 sq.ft. (141.86 sq.m.),3,3,3+,10.0,East,Relatively New,2545.0,,1527.0,0,0,0,0,0,0,174
13,flat,paras quartier,gwal pahari,5.9,11028.0,5350.0,Built Up area: 5350 (497.03 sq.m.),4,4,3+,0.0,,Moderately Old,,5350.0,,0,0,0,0,0,0,63
14,house,international city by sobha phase 2,sector 109,6.25,11574.0,5400.0,Plot area 600(501.68 sq.m.),4,4,3+,2.0,East,Relatively New,,5400.0,,0,1,0,0,0,0,138
15,flat,puri emerald bay,sector 104,2.55,10408.0,2450.0,Super Built up area 2450(227.61 sq.m.)Carpet area: 2150 sq.ft. (199.74 sq.m.),4,4,3+,5.0,East,Relatively New,2450.0,,2150.0,0,1,0,0,0,0,49
16,house,dlf city plots phase 2,sector 25,10.5,29022.0,3618.0,Plot area 402(37.35 sq.m.),4,4,2,2.0,East,Old Property,,402.0,,0,1,0,1,0,1,91
17,flat,raheja revanta,sector 78,1.2,10017.0,1198.0,Super Built up area 1197.8(111.28 sq.m.)Carpet area: 505 sq.ft. (46.92 sq.m.),1,2,2,32.0,,Under Construction,1197.8,,505.0,0,0,0,0,0,0,39
18,flat,raheja vanya,sector 99a,0.59,3976.0,1484.0,Super Built up area 1252.13(116.33 sq.m.),2,2,3,1.0,East,Under Construction,1252.13,,,0,0,0,0,1,0,96
19,house,independent,sector 2,4.99,18887.0,2642.0,Plot area 270(225.75 sq.m.),4,4,3+,3.0,North,Moderately Old,,270.0,,0,1,1,1,0,0,43
20,house,independent,sector 25,6.5,36111.0,1800.0,Plot area 200(167.23 sq.m.),4,3,3,3.0,,Moderately Old,,1800.0,,1,0,0,1,0,0,19
21,flat,bptp terra,sector 37d,1.98,9037.0,2191.0,Super Built up area 2191(203.55 sq.m.),3,3,3+,12.0,North-East,New Property,2191.0,,,1,0,0,0,0,1,49
22,flat,green court,sector 90,0.47,6812.0,690.0,Carpet area: 690 (64.1 sq.m.),2,2,1,0.0,East,New Property,,,690.0,0,0,0,0,0,0,49
23,house,independent,sector 5,3.75,11029.0,3400.0,Built Up area: 3400 (315.87 sq.m.)Carpet area: 1836 sq.ft. (170.57 sq.m.),5,5,3+,3.0,,Undefined,,3400.0,1836.0,0,0,0,0,0,0,0
24,flat,the close north,sector 50,2.5,11945.0,2093.0,Super Built up area 2093(194.45 sq.m.),3,3,3,11.0,North-East,Relatively New,2093.0,,,0,0,0,1,0,1,127
25,flat,ramsons kshitij,sector 95,0.33,3910.0,844.0,Super Built up area 767(71.26 sq.m.),2,2,1,14.0,South,New Property,767.0,,,0,0,0,0,1,1,79
26,flat,experion windchants,sector 112,5.6,11530.0,4857.0,Super Built up area 4857(451.23 sq.m.)Built Up area: 3662.34 sq.ft. (340.24 sq.m.),4,6,3+,15.0,North-East,Moderately Old,4857.0,3662.34,,0,1,0,0,0,1,157
27,flat,tata primanti,sector 72,4.1,13726.0,2987.0,Super Built up area 2550(236.9 sq.m.),3,3,3,8.0,,Moderately Old,2550.0,,,0,1,0,0,0,0,38
28,house,dlf city plots,sector 26,17.0,37627.0,4518.0,Plot area 502(419.74 sq.m.),5,6,3,2.0,North-West,Old Property,,4518.0,,0,1,1,1,0,1,87
29,flat,m3m sierra 68,sector 68,1.25,10246.0,1220.0,Super Built up area 1220(113.34 sq.m.)Carpet area: 694 sq.ft. (64.47 sq.m.),2,2,3,4.0,,New Property,1220.0,,694.0,0,0,0,0,0,0,44
30,flat,ss the leaf,sector 85,2.7,7754.0,3482.0,Super Built up area 3482(323.49 sq.m.),4,4,3+,23.0,,New Property,3482.0,,,0,0,0,0,0,0,21
31,flat,chd avenue,sector 71,1.2,7407.0,1620.0,Super Built up area 1620(150.5 sq.m.),3,3,3,4.0,North,Relatively New,1620.0,,,0,0,0,0,1,1,49
32,flat,ireo the corridors,sector 67a,2.0,11429.0,1750.0,Super Built up area 1750(162.58 sq.m.),3,3,3,12.0,,New Property,1750.0,,,1,0,0,0,0,0,38
33,house,vipul tatvam villa,sector 48,8.5,21250.0,4000.0,Plot area 4000(371.61 sq.m.),4,5,3+,2.0,North,Moderately Old,,4000.0,,1,1,0,1,1,1,49
34,flat,ss the leaf,sector 85,1.05,6162.0,1704.0,Super Built up area 1671(155.24 sq.m.),2,2,3+,7.0,West,Relatively New,1671.0,,,0,0,1,0,0,0,144
35,flat,shapoorji pallonji joyville gurugram,sector 102,1.28,10535.0,1215.0,Super Built up area 1215(112.88 sq.m.),2,2,3,10.0,East,Relatively New,1215.0,,,0,0,0,0,0,0,49
36,flat,hero homes,sector 104,1.35,9568.0,1411.0,Super Built up area 1359(126.26 sq.m.)Carpet area: 861.97 sq.ft. (80.08 sq.m.),3,2,2,18.0,East,New Property,1359.0,,861.97,0,0,0,0,0,0,49
37,flat,vatika city homes,sector 83,1.08,6207.0,1740.0,Super Built up area 1740(161.65 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,3,6.0,South-West,Relatively New,1740.0,,1350.0,0,0,1,0,0,0,111
38,flat,puri diplomatic greens,sector 111,3.65,12373.0,2950.0,Super Built up area 2950(274.06 sq.m.),4,5,3+,17.0,West,Moderately Old,2950.0,,,0,1,0,0,0,0,132
39,flat,tulip violet,sector 69,1.55,9823.0,1578.0,Super Built up area 1578(146.6 sq.m.),3,3,2,9.0,North-East,Relatively New,1578.0,,,0,0,0,1,0,1,165
40,flat,godrej air,sector 85,1.75,9589.0,1825.0,Built Up area: 1825 (169.55 sq.m.),3,3,2,27.0,,Undefined,,1825.0,,0,0,0,0,0,0,44
41,flat,awho shanti vihar,sector 95,0.8,8889.0,900.0,Super Built up area 900(83.61 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),2,2,3,9.0,East,New Property,900.0,,550.0,1,0,0,0,0,0,67
42,flat,paras dews,sector 106,0.88,6354.0,1385.0,Super Built up area 1385(128.67 sq.m.)Built Up area: 1120 sq.ft. (104.05 sq.m.)Carpet area: 1040 sq.ft. (96.62 sq.m.),2,2,3+,3.0,South-East,Relatively New,1385.0,1120.0,1040.0,0,0,0,0,0,0,49
43,flat,bptp terra,sector 37d,1.75,7987.0,2191.0,Super Built up area 2191(203.55 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),4,4,3,7.0,West,Relatively New,2191.0,2100.0,1800.0,0,0,0,0,1,1,120
44,flat,uphaar residency 2,sector 105,0.42,5600.0,750.0,Carpet area: 750 (69.68 sq.m.),3,2,1,0.0,East,Moderately Old,,,750.0,0,0,0,0,1,0,7
45,flat,bestech park view ananda,sector 81,1.15,6928.0,1660.0,Super Built up area 1660(154.22 sq.m.)Carpet area: 1282 sq.ft. (119.1 sq.m.),3,2,3+,6.0,South,Relatively New,1660.0,,1282.0,1,0,0,0,0,1,104
46,flat,eldeco accolade,sohna road,1.1,7550.0,1457.0,Super Built up area 1457(135.36 sq.m.),2,2,3+,17.0,,Relatively New,1457.0,,,1,0,0,0,1,1,7
47,flat,bptp terra,sector 37d,2.08,10000.0,2080.0,Super Built up area 2443(226.96 sq.m.),4,4,3,0.0,North-East,New Property,2443.0,,,1,1,0,1,0,0,121
48,house,independent,sector 11,2.1,20290.0,1035.0,Plot area 135(112.88 sq.m.),6,6,3+,3.0,,Relatively New,,1215.0,,0,0,0,0,0,0,14
49,flat,emaar palm gardens,sector 83,1.4,9675.0,1447.0,Super Built up area 1720(159.79 sq.m.)Carpet area: 1447 sq.ft. (134.43 sq.m.),3,3,3,11.0,North,Relatively New,1720.0,,1447.0,0,1,0,0,0,2,58
50,house,independent,sector 7,0.45,5000.0,900.0,Carpet area: 900 (83.61 sq.m.),3,2,0,1.0,,Undefined,,,900.0,0,0,0,0,0,0,0
51,flat,emaar mgf emerald floors premier,sector 65,2.8,16970.0,1650.0,Super Built up area 1650(153.29 sq.m.),3,3,2,3.0,East,Relatively New,1650.0,,,0,1,0,0,0,0,105
52,flat,valley view estate,gwal pahari,0.38,6090.0,624.0,Super Built up area 624(57.97 sq.m.),1,1,1,11.0,,Moderately Old,624.0,,,0,0,0,0,0,0,42
53,flat,indiabulls centrum park,sector 103,1.33,8581.0,1550.0,Super Built up area 1790(166.3 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,3,3+,8.0,East,Relatively New,1790.0,,1550.0,1,0,0,0,0,0,150
54,house,unitech uniworld resorts,sector 33,11.75,23240.0,5056.0,Plot area 502(419.74 sq.m.),5,7,3+,3.0,East,Relatively New,,502.0,,0,1,0,0,0,0,80
55,flat,dlf new town heights,sector 90,1.88,6894.0,2727.0,Super Built up area 2727(253.35 sq.m.)Built Up area: 2726 sq.ft. (253.25 sq.m.)Carpet area: 2725 sq.ft. (253.16 sq.m.),4,4,3+,20.0,South,Relatively New,2727.0,2726.0,2725.0,0,1,0,1,0,0,145
56,flat,ss the leaf,sector 85,1.14,6433.0,1772.0,Super Built up area 1772(164.62 sq.m.),2,2,3,16.0,South,Relatively New,1772.0,,,0,0,0,0,0,0,44
57,flat,ansal height 86,sector 86,0.8,5882.0,1360.0,Built Up area: 1360 (126.35 sq.m.),2,2,0,1.0,,Undefined,,1360.0,,0,0,0,0,0,0,0
58,flat,shree vardhman victoria,sector 70,1.63,8359.0,1950.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,3,3,5.0,East,New Property,1950.0,,1161.0,0,1,0,0,1,0,49
59,flat,apex our homes,sector 37c,0.35,3784.0,925.0,Super Built up area 925(85.94 sq.m.)Built Up area: 850 sq.ft. (78.97 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2,2,1,7.0,East,Relatively New,925.0,850.0,800.0,0,0,0,0,0,1,158
60,flat,ss the leaf,sector 85,1.85,7683.0,2408.0,Super Built up area 2408(223.71 sq.m.),3,4,3,2.0,North,Relatively New,2408.0,,,1,1,0,0,0,1,49
61,flat,the lions cghs,sector 56,2.1,8750.0,2400.0,Super Built up area 2400(222.97 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,4,3+,8.0,West,Old Property,2400.0,2200.0,2000.0,0,0,0,0,1,1,166
62,flat,mrg world ultimus,sector 90,0.5,6983.0,716.0,Carpet area: 716 (66.52 sq.m.),2,2,2,1.0,North-East,Under Construction,,,716.0,0,0,0,0,0,0,21
63,flat,aipl club residences,sector 70a,1.27,9777.0,1299.0,Carpet area: 1304 (121.15 sq.m.),2,2,3+,24.0,North-West,Relatively New,,,1304.0,0,0,0,0,1,1,113
64,flat,bptp terra,sector 37d,1.8,8215.0,2191.0,Super Built up area 2191(203.55 sq.m.),4,3,3,12.0,North,Relatively New,2191.0,,,1,0,0,0,0,1,144
65,house,independent,sector 45,10.0,30864.0,3240.0,Plot area 360(301.01 sq.m.),6,6,3+,4.0,North-East,Moderately Old,,3240.0,,1,1,1,1,0,1,70
66,flat,dlf new town heights,sector 90,1.42,4865.0,2919.0,Super Built up area 2364(219.62 sq.m.),4,4,3+,8.0,East,Moderately Old,2364.0,,,0,1,1,0,0,0,31
68,flat,ansal heights 86,sector 86,1.3,4666.0,2786.0,Super Built up area 2786(258.83 sq.m.),4,6,2,11.0,East,New Property,2786.0,,,0,1,0,0,1,0,86
69,flat,signature global solera,sector 107,0.36,5980.0,602.0,Super Built up area 602(55.93 sq.m.)Built Up area: 598 sq.ft. (55.56 sq.m.)Carpet area: 546 sq.ft. (50.73 sq.m.),2,2,1,7.0,North-West,Relatively New,602.0,598.0,546.0,0,0,0,0,1,0,49
70,flat,ansal heights 86,sector 86,0.78,5735.0,1360.0,Built Up area: 1360 (126.35 sq.m.),2,2,2,8.0,North,New Property,,1360.0,,0,0,0,0,0,0,72
71,flat,dlf regal gardens,sector 90,1.29,7104.0,1816.0,Super Built up area 1818(168.9 sq.m.)Built Up area: 1817 sq.ft. (168.8 sq.m.)Carpet area: 1816 sq.ft. (168.71 sq.m.),3,3,3+,12.0,South-East,Relatively New,1818.0,1817.0,1816.0,0,1,0,0,0,0,152
72,flat,vatika city,sector 49,2.64,11723.0,2252.0,Super Built up area 2251.42(209.16 sq.m.)Built Up area: 1750.75 sq.ft. (162.65 sq.m.),3,4,3+,2.0,East,Moderately Old,2251.42,1750.75,,0,1,0,1,0,1,140
73,flat,the lions cghs,sector 56,2.05,7885.0,2600.0,Built Up area: 2600 (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,4,3+,7.0,West,Old Property,,2600.0,2400.0,0,0,1,0,0,1,120
74,flat,m3m skycity,sector 65,2.1,16031.0,1310.0,Super Built up area 1310(121.7 sq.m.),2,2,2,43.0,,New Property,1310.0,,,0,0,0,0,0,0,127
75,flat,ireo the grand arch,sector 58,2.2,13480.0,1632.0,Super Built up area 1632(151.62 sq.m.)Built Up area: 1432 sq.ft. (133.04 sq.m.)Carpet area: 1232 sq.ft. (114.46 sq.m.),2,2,1,5.0,North-East,Relatively New,1632.0,1432.0,1232.0,1,0,0,0,0,1,94
76,flat,indiabulls centrum park,sector 103,1.15,7765.0,1481.0,Super Built up area 1481(137.59 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.),2,2,3,8.0,North-East,Relatively New,1481.0,1250.0,,1,0,0,0,0,1,135
77,flat,m3m woodshire,sector 107,0.9,5867.0,1534.0,Super Built up area 1534(142.51 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),2,2,3,8.0,South,Relatively New,1534.0,,1056.0,1,0,0,0,0,1,74
78,flat,godrej summit,sector 104,0.98,5950.0,1647.0,Super Built up area 1647(153.01 sq.m.),3,3,3,12.0,East,Relatively New,1647.0,,,0,0,0,0,1,0,79
79,flat,vatika gurgaon,sector 83,1.1,6051.0,1818.0,Super Built up area 1735(161.19 sq.m.),3,3,3,12.0,North,Relatively New,1735.0,,,0,1,0,0,0,1,66
80,flat,sidhartha ncr greens,sector 95,0.6,5576.0,1076.0,Super Built up area 1076(99.96 sq.m.),2,2,2,14.0,,Relatively New,1076.0,,,1,0,0,0,0,0,31
82,house,uppal southend,sector 49,4.4,15278.0,2880.0,Plot area 320(267.56 sq.m.),6,6,3,3.0,North,Moderately Old,,2880.0,,1,1,1,1,0,2,110
83,flat,signature global city 37d ph 2,sector 37d,1.36,8848.0,1537.0,Built Up area: 1535 (142.61 sq.m.),3,3,3,1.0,North-East,Under Construction,,1535.0,,0,0,0,1,1,0,37
84,flat,la vida by tata housing,sector 113,3.0,14286.0,2100.0,Super Built up area 2691(250 sq.m.)Built Up area: 2460 sq.ft. (228.54 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),3,3,3+,3.0,East,Relatively New,2691.0,2460.0,2100.0,0,1,0,0,0,0,167
85,house,independent,sector 105,1.3,11556.0,1125.0,Plot area 1125(104.52 sq.m.),3,3,1,2.0,North,Moderately Old,,1125.0,,0,0,0,0,0,0,16
86,flat,kiran residency,sector 56,1.55,6889.0,2250.0,Super Built up area 2250(209.03 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),3,3,3+,5.0,North,Moderately Old,2250.0,1900.0,1750.0,0,1,0,1,0,1,92
87,flat,pareena laxmi apartments,sector 99a,0.3,5425.0,553.0,Super Built up area 553(51.38 sq.m.)Carpet area: 470 sq.ft. (43.66 sq.m.),2,1,2,5.0,North,New Property,553.0,,470.0,0,0,0,0,0,0,66
88,flat,spaze privy,sector 72,1.9,9620.0,1975.0,Super Built up area 1975(183.48 sq.m.),3,3,3,10.0,,Moderately Old,1975.0,,,0,1,0,0,0,1,31
89,flat,ss the leaf,sector 85,1.2,7317.0,1640.0,Super Built up area 1640(152.36 sq.m.)Carpet area: 1148 sq.ft. (106.65 sq.m.),2,2,3+,14.0,East,Relatively New,1640.0,,1148.0,0,0,1,0,0,0,141
90,flat,ireo uptown,sector 66,4.85,12999.0,3731.0,Super Built up area 3731(346.62 sq.m.)Built Up area: 3500 sq.ft. (325.16 sq.m.)Carpet area: 3300 sq.ft. (306.58 sq.m.),4,4,3+,15.0,North,Relatively New,3731.0,3500.0,3300.0,1,1,1,1,0,1,156
91,flat,sare crescent parc,sector 92,0.8,4211.0,1900.0,Super Built up area 1900(176.52 sq.m.),4,3,2,10.0,East,Relatively New,1900.0,,,0,0,0,0,1,0,37
92,house,independent,sector 4,2.3,17012.0,1352.0,Plot area 160(133.78 sq.m.),4,4,3,2.0,East,Old Property,,160.0,,0,0,0,0,0,1,15
93,house,independent,sector 26,18.9,41833.0,4518.0,Plot area 502(419.74 sq.m.),6,8,2,3.0,North-East,Relatively New,,4518.0,,1,1,1,1,0,1,120
94,flat,dlf the ultima,sector 81,2.3,14603.0,1575.0,Super Built up area 2100(195.1 sq.m.)Carpet area: 1575 sq.ft. (146.32 sq.m.),3,4,3+,27.0,East,Relatively New,2100.0,,1575.0,0,1,0,0,0,1,119
95,house,unitech aspen greens,sector 50,6.95,4490.0,15479.0,Plot area 240(200.67 sq.m.)Built Up area: 2160 sq.yards (1806.04 sq.m.)Carpet area: 1720 sq.yards (1438.14 sq.m.),3,3,1,2.0,North-East,Moderately Old,,2160.0,1720.0,0,1,0,0,0,0,160
96,flat,irwo westend towers,sector 47,0.65,12059.0,539.0,Carpet area: 539 (50.07 sq.m.),1,1,2,3.0,,Old Property,,,539.0,0,0,0,0,0,0,56
97,flat,shree vardhman flora,sector 90,0.65,6792.0,957.0,Super Built up area 1350(125.42 sq.m.)Built Up area: 1050 sq.ft. (97.55 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,3,9.0,South-East,Relatively New,1350.0,1050.0,950.0,1,0,0,0,0,0,67
98,house,kothi,sector 17b,6.95,15444.0,4500.0,Plot area 500(418.06 sq.m.)Built Up area: 3500 sq.yards (2926.45 sq.m.),4,4,3+,2.0,,Old Property,,3500.0,,1,1,1,1,0,0,33
99,flat,signature global orchard avenue,sector 93,0.38,6387.0,595.0,Carpet area: 594.91 (55.27 sq.m.),2,2,2,7.0,North,Relatively New,,,594.920753,0,0,0,0,0,0,16
100,flat,emaar gurgaon greens,sector 102,1.4,8485.0,1650.0,Super Built up area 1650(153.29 sq.m.),3,3,3,4.0,North,Relatively New,1650.0,,,0,1,0,0,0,1,83
101,flat,paras dews,sector 106,1.25,10656.0,1173.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1305 sq.ft. (121.24 sq.m.)Carpet area: 1173 sq.ft. (108.98 sq.m.),3,4,3,14.0,East,Relatively New,1900.0,1305.0,1173.0,1,1,0,0,0,0,167
102,flat,sukhshanti apartment,sector 56,1.7,7727.0,2200.0,Built Up area: 2200 (204.39 sq.m.)Carpet area: 1610 sq.ft. (149.57 sq.m.),3,3,3,4.0,South,Moderately Old,,2200.0,1610.0,1,0,0,0,0,0,49
103,flat,ramprastha city,dwarka expressway,1.3,9028.0,1440.0,Super Built up area 1440(133.78 sq.m.),3,3,2,3.0,,Under Construction,1440.0,,,0,0,0,0,0,0,0
104,flat,alpha corp gurgaonone,sector 84,2.28,8769.0,2600.0,Super Built up area 3434(319.03 sq.m.)Carpet area: 2600 sq.ft. (241.55 sq.m.),4,4,3+,8.0,South-East,Relatively New,3434.0,,2600.0,0,1,0,0,0,0,61
105,flat,tata primanti,sector 72,4.1,14099.0,2908.0,Super Built up area 2905(269.88 sq.m.),4,5,3+,39.0,,New Property,2905.0,,,0,1,0,0,1,0,103
106,flat,aipl zen residences,sector 70a,1.65,13074.0,1262.0,Super Built up area 1262(117.24 sq.m.),2,2,3,23.0,North-West,New Property,1262.0,,,0,0,0,0,0,0,81
107,flat,ireo skyon,sector 60,2.82,12818.0,2200.0,Super Built up area 2403(223.25 sq.m.)Built Up area: 2400 sq.ft. (222.97 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,3,3,2.0,South-East,Relatively New,2403.0,2400.0,2200.0,0,1,0,0,0,1,174
108,flat,tarc maceo,sector 91,0.89,6339.0,1404.0,Super Built up area 1404(130.44 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3+,9.0,East,Relatively New,1404.0,,1200.0,0,0,0,0,1,1,13
109,flat,emaar mgf emerald floors premier,sector 65,2.7,16364.0,1650.0,Carpet area: 1650 (153.29 sq.m.),3,3,3,5.0,North-West,Relatively New,,,1650.0,0,1,1,0,0,1,108
110,house,independent,sector 39,1.7,17989.0,945.0,Plot area 900(83.61 sq.m.),2,2,3+,3.0,,Moderately Old,,900.0,,0,1,1,0,0,0,45
111,flat,dlf regal gardens,sector 90,1.2,6838.0,1755.0,Super Built up area 1755(163.04 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3+,15.0,South-West,Relatively New,1755.0,,1400.0,0,0,0,0,0,0,118
112,house,sector 14 rwa,sector 14,6.5,20635.0,3150.0,Plot area 350(292.64 sq.m.),4,4,3+,2.0,,Moderately Old,,3150.0,,0,0,0,0,0,0,0
113,flat,emaar digihomes,sector 62,4.0,14870.0,2690.0,Super Built up area 2588.79(240.51 sq.m.),3,3,3,18.0,North,New Property,2588.79,,,0,1,0,0,0,1,38
114,flat,mvn athens,sohna road,0.25,4259.0,587.0,Built Up area: 587 (54.53 sq.m.),2,2,1,0.0,,Relatively New,,587.0,,0,0,0,0,0,0,38
115,house,independent,sector 46,4.25,23148.0,1836.0,Plot area 204(170.57 sq.m.),5,4,2,3.0,North-East,Moderately Old,,1836.0,,0,0,1,0,0,1,57
116,flat,tulip violet,sector 69,1.6,10139.0,1578.0,Super Built up area 1578(146.6 sq.m.),3,3,2,0.0,South-West,Relatively New,1578.0,,,0,0,0,1,0,0,49
117,flat,bestech park view grand spa,sector 81,2.22,8346.0,2660.0,Super Built up area 2660(247.12 sq.m.),3,4,3+,15.0,South-East,Relatively New,2660.0,,,0,1,0,0,0,1,174
118,flat,paras dews,sector 106,1.1,9735.0,1130.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3,4,3+,8.0,North-West,Relatively New,1760.0,1186.0,1130.0,0,1,0,0,0,1,174
119,flat,not applicable,sector 4,0.42,5600.0,750.0,Carpet area: 750 (69.68 sq.m.),2,2,1,3.0,,Relatively New,,,750.0,0,0,0,0,0,1,26
120,house,independent,sector 31,3.5,24155.0,1449.0,Plot area 161(134.62 sq.m.),4,3,3,2.0,South-West,Moderately Old,,1449.0,,0,0,1,0,0,1,81
121,house,independent,sector 7,2.43,14890.0,1632.0,Plot area 181.33(151.61 sq.m.)Built Up area: 345 sq.yards (288.46 sq.m.),4,4,2,3.0,South-West,Old Property,,345.0,,1,0,1,1,0,0,38
122,house,independent,sector 4,0.58,9619.0,603.0,Plot area 67(6.22 sq.m.),2,2,1,2.0,West,Moderately Old,,67.0,,0,0,0,1,1,0,7
123,house,independent,sohna road,1.5,14245.0,1053.0,Plot area 117(97.83 sq.m.),2,3,2,1.0,North,New Property,,1053.0,,1,0,0,1,0,1,69
124,house,independent,sector 105,9.9,49500.0,2000.0,Built Up area: 2000 (185.81 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2,2,2,3.0,North,Undefined,,2000.0,1800.0,0,0,0,0,0,0,0
125,flat,pareena coban residences,sector 99a,1.56,7812.0,1997.0,Super Built up area 1997(185.53 sq.m.),3,5,3,4.0,North-East,New Property,1997.0,,,0,1,0,0,1,0,49
126,flat,dlf the ultima,sector 81,2.2,10461.0,2103.0,Super Built up area 2103(195.38 sq.m.)Built Up area: 1570 sq.ft. (145.86 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),3,3,3+,5.0,East,Relatively New,2103.0,1570.0,1257.0,1,1,0,1,1,2,49
127,flat,corona optus,sector 37c,1.5,6361.0,2358.0,Super Built up area 2358(219.07 sq.m.),3,4,3+,14.0,North-East,New Property,2358.0,,,0,1,0,0,1,0,83
128,flat,raisina residency,sector 59,5.0,13058.0,3829.0,Carpet area: 3829 (355.73 sq.m.),4,4,3+,13.0,North-West,Relatively New,,,3829.0,1,1,1,1,0,1,174
129,flat,signature global park,sohna road,0.65,7295.0,891.0,Built Up area: 822 (76.37 sq.m.)Carpet area: 520 sq.ft. (48.31 sq.m.),2,2,3,1.0,,New Property,,822.0,520.0,0,0,0,0,0,0,58
130,flat,eldeco accolade,sohna road,0.66,5181.0,1274.0,Super Built up area 1264(117.43 sq.m.)Carpet area: 730 sq.ft. (67.82 sq.m.),2,2,3,12.0,North-West,Relatively New,1264.0,,730.0,0,0,0,1,0,0,49
131,house,international city by sobha phase 2,sector 109,12.5,26670.0,4687.0,Plot area 500(418.06 sq.m.),5,6,3,3.0,East,Relatively New,,4500.0,,1,1,1,1,0,0,63
