,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
3166,flat,sare green parc 2,sector 92,0.75,4744.0,1581.0,Super Built up area 1454(135.08 sq.m.)Built Up area: 1415 sq.ft. (131.46 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,3,2.0,East,Relatively New,1454.0,1415.0,1350.0,0,0,0,0,1,1,49
3167,flat,shree arihant apartment,sector 54,1.55,8611.0,1800.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,3,3,3.0,North-East,Moderately Old,2000.0,1900.0,1800.0,0,1,0,0,0,1,109
3168,flat,vatika gurgaon,sector 83,0.87,6988.0,1245.0,Super Built up area 1245(115.66 sq.m.),2,2,2,3.0,East,Moderately Old,1245.0,,,0,0,0,0,0,0,35
3169,flat,bestech park view ananda,sector 81,0.95,6985.0,1360.0,Super Built up area 1360(126.35 sq.m.)Built Up area: 1260 sq.ft. (117.06 sq.m.)Carpet area: 894 sq.ft. (83.06 sq.m.),2,2,2,14.0,North-East,Relatively New,1360.0,1260.0,894.0,0,0,0,0,0,1,165
3170,flat,gls arawali homes,sohna road,0.26,4514.0,576.0,Carpet area: 576 (53.51 sq.m.),2,2,2,4.0,,Relatively New,,,576.0,0,0,0,0,0,0,42
3171,flat,m3m skywalk,sector 74,2.45,12141.0,2018.0,Super Built up area 2018(187.48 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1614 sq.ft. (149.95 sq.m.),3,3,3+,25.0,South-West,Relatively New,2018.0,1800.0,1614.0,1,0,0,0,0,0,137
3172,flat,breez global hill view,sohna road,0.32,5470.0,585.0,Built Up area: 1000 (92.9 sq.m.)Carpet area: 585 sq.ft. (54.35 sq.m.),2,2,1,17.0,,New Property,,1000.0,585.0,0,0,0,0,0,0,49
3173,flat,m3m soulitude,sector 89,1.25,8784.0,1423.0,Super Built up area 1423(132.2 sq.m.),3,3,3,3.0,East,New Property,1423.0,,,1,0,0,0,1,0,61
3174,flat,ss the leaf,sector 85,1.05,6402.0,1640.0,Super Built up area 1640(152.36 sq.m.),2,2,3,6.0,North-East,Relatively New,1640.0,,,0,0,0,0,1,0,49
3175,flat,supertech araville,sector 79,1.1,5641.0,1950.0,Carpet area: 1950 (181.16 sq.m.),3,3,3,1.0,,Relatively New,,,1950.0,0,0,0,0,0,1,106
3176,house,independent,sector 23,4.0,16006.0,2499.0,Plot area 270(225.75 sq.m.),3,3,2,2.0,East,Moderately Old,,2430.0,,0,1,0,0,0,1,115
3177,flat,ss the leaf,sector 85,2.15,7646.0,2812.0,Super Built up area 2812(261.24 sq.m.),4,5,3+,1.0,South,Relatively New,2812.0,,,0,1,0,0,0,0,165
3178,flat,godrej icon,sector 88a,1.31,8101.0,1617.0,Super Built up area 1617(150.22 sq.m.),2,2,3+,3.0,North-West,Relatively New,1617.0,,,1,0,0,0,0,0,102
